id,lote,partida_especifica,partida,descripcion,cantidad,unidad,marca,precio_unitario,subtotal,proveedor,medida,codigo
45,9,246,124,"LÁMPARA LED DE MANO, CUERPO DE ALUMINIO, 500 LÚMENES, UTILIZA PILA RECARGABLE, LENTE CON LUPA, PROTECCIÓN CONTRA POLVO Y AGUA Y CARGADOR, TRES MODOS DE ILUMINACIÓN, ALTO, MEDIO, BAJO, INTERMITENTE Y SOS. SEGÚN MUESTRA AC11.",1,Pieza,Truper,682.71,682.71,beyram,P,39112006
46,9,246,125,"SLEEPING COLOR AZUL MARINO, COMPOSICIÓN FORRO Y REVESTIMIENTO 100% POLIÉSTER INCLUYE CAPUCHA, CIERRE DE CARRO METÁLICO, BOLSA DE TRANSPORTE. SEGÚN MUESTRA AC36.",1,Pieza,Coleman,652.15,652.15,beyram,P,49121504
47,9,246,126,"PORTA HERRAMIENTA GRANDE DE CARNAZA, CON 13 COMPARTIMIENTOS CON COSTURA REFORZADA Y CINTURÓN AJUSTABLE CON BROCHE DE PLÁSTICO. SEGÚN MUESTRA AC12.",1,Pieza,Truper,652.15,652.15,beyram,P,27112809
48,9,246,127,"PORTA HERRAMIENTA GRANDE DE POLIÉSTER, CON 20 COMPARTIMIENTOS, COSIDO Y REMACHADO, PORTA MARTILLOS, CLIP METÁLICO PARA FLEXÓMETRO Y CINTURÓN AJUSTABLE DE BROCHE DE PLÁSTICO. SEGÚN MUESTRA AC13.",1,Pieza,Truper,608.96,608.96,beyram,P,27112809
49,9,246,128,"FILTRO DE POLICARBONATO DEL NO. 12 PARA CARETA DE SOLDAR, RESISTENTE A LOS IMPACTOS. SEGÚN MUESTRA AC18.",1,Pieza,Truper,32.67,32.67,beyram,P,40161500
50,9,246,129,"PROTECTOR FACIAL CON MICA DE POLICARBONATO ANTIRAYADURAS, PARA PROTECCIÓN DE ROSTRO Y CUELLO, AJUSTADOR DE MATRACA. SEGÚN MUESTRA AC19.",1,Pieza,Truper,269.66,269.66,beyram,P,46181709
51,9,246,130,"CASCO DE SEGURIDAD COLOR AMARILLO, TIPO 1 CLASE E, FABRICADO EN POLIETILENO DE ALTA DENSIDAD CON AJUSTADOR DE MATRACA, RESISTENCIA ELÉCTRICA HASTA DE 20,000 V. CUMPLE CON LA NORMA NOM-115-STPS-2009 Y ANSI/ISEA-Z89.1-2014. SEGÚN MUESTRA AC2.",1,Pieza,Truper,104.31,104.31,beyram,P,46181704
52,9,246,131,"CASCO DE SEGURIDAD CLASE C, FABRICADO EN ALUMINIO COLOR NATURAL, SUSPENSIÓN DE 4 PUNTOS, CON REFUERZO ADICIONAL EN LA PARTE SUPERIOR CENTRAL PARA SOPORTAR IMPACTOS. SEGÚN MUESTRA AC58.",1,Pieza,Infra,452.61,452.61,beyram,P,46181704
53,9,246,132,"CASCO PARA MOTOCICLISTA EN COLOR NEGRO MATE, RENDIJA DE VENTILACIÓN EN LA PARTE SUPERIOR, ABATIBLE, MICA TRANSPARENTE DE POLICARBONATO, LENTE OBSCURO INTEGRADO DE POLICARBONATO, ANTIRAYADURAS, INTERIOR ACOJINADO, BROCHE MILIMÉTRICO PARA AJUSTE, CUMPLE CON LA CERTIFICACIÓN DOT FMVSS NO 218.  SEGÚN MUESTRA AC65.",1,Pieza,R7,2209.33,2209.33,beyram,P,46181705
54,9,246,133,"CASCO PARA CICLISTA COLOR BLANCO CON DETALLE ROJO, CON SISTEMA DE AJUSTE, CON VENTILACIÓN, IDEAL PARA ADULTOS. SEGÚN MUESTRA AC75.",1,Pieza,Helmet,1078.85,1078.85,beyram,P,49221504
