id,producto_id,anio,precio_unitario,subtotal,proveedor,created_at,updated_at
154,154,2025,294.45,294.45,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
155,155,2025,281.90,281.90,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
156,156,2025,89.78,89.78,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
157,157,2025,90.74,90.74,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
158,158,2025,853.42,853.42,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
159,159,2025,291.84,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
160,160,2025,671.12,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
161,161,2025,671.12,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
162,162,2025,421.43,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
163,163,2025,421.43,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
164,164,2025,171.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
165,165,2025,43.19,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
166,166,2025,218.09,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
167,167,2025,132.75,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
168,168,2025,6.32,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
169,169,2025,7.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
170,170,2025,106.40,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
171,171,2025,703.79,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
172,172,2025,2209.33,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
173,173,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
174,174,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
175,175,2025,992.44,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
176,176,2025,168.56,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
177,177,2025,7649.96,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
178,178,2025,90.74,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
179,179,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
180,180,2025,1195.18,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
181,181,2025,1100.68,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
182,182,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
183,183,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
184,184,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
185,185,2025,1214.49,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
186,186,2025,1063.88,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
187,187,2025,865.98,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
188,188,2025,1019.69,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
189,189,2025,1011.08,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
190,190,2025,1011.08,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
191,191,2025,329.81,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
192,192,2025,329.81,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
193,193,2025,812.87,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
194,194,2025,676.75,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
